Year,Danceability
2010,67
2010,75
2010,76
2010,70
2010,64
2010,73
2010,75
2010,52
2010,48
2010,79
2010,62
2010,62
2010,77
2010,83
2010,44
2010,78
2010,72
2010,82
2010,63
2010,83
2010,80
2010,44
2010,73
2010,70
2010,53
2010,48
2010,61
2010,65
2010,72
2010,79
2010,70
2010,68
2010,75
2010,60
2010,50
2010,81
2010,29
2010,65
2010,72
2010,50
2010,51
2010,71
2010,31
2010,80
2010,23
2010,76
2010,64
2010,66
2010,45
2010,67
2010,67
2011,42
2011,56
2011,67
2011,64
2011,73
2011,73
2011,72
2011,65
2011,71
2011,69
2011,58
2011,59
2011,63
2011,62
2011,55
2011,75
2011,74
2011,64
2011,63
2011,66
2011,73
2011,69
2011,71
2011,61
2011,71
2011,58
2011,62
2011,69
2011,70
2011,75
2011,52
2011,66
2011,65
2011,70
2011,73
2011,61
2011,30
2011,65
2011,59
2011,71
2011,58
2011,82
2011,64
2011,35
2011,45
2011,30
2011,77
2011,68
2011,73
2011,50
2011,65
2011,64
2011,80
2012,60
2012,73
2012,45
2012,74
2012,73
2012,62
2012,78
2012,86
2012,61
2012,63
2012,56
2012,67
2012,75
2012,72
2012,56
2012,72
2012,60
2012,67
2012,67
2012,72
2012,68
2012,76
2012,72
2012,51
2012,69
2012,79
2012,59
2012,68
2012,38
2012,56
2012,72
2012,70
2012,65
2012,58
2012,60
2013,51
2013,53
2013,60
2013,78
2013,42
2013,55
2013,61
2013,61
2013,79
2013,53
2013,38
2013,85
2013,50
2013,63
2013,71
2013,51
2013,57
2013,54
2013,47
2013,77
2013,65
2013,63
2013,57
2013,83
2013,63
2013,55
2013,63
2013,67
2013,56
2013,66
2013,78
2013,52
2013,65
2013,80
2013,80
2013,71
2013,72
2013,66
2013,68
2013,76
2013,85
2013,56
2013,47
2013,56
2013,58
2013,67
2013,58
2013,45
2013,55
2013,61
2013,55
2013,69
2013,55
2013,28
2013,63
2013,59
2013,67
2013,70
2013,62
2013,68
2013,68
2013,36
2013,72
2013,69
2013,60
2013,77
2013,53
2013,67
2013,51
2013,71
2013,65
2014,42
2014,42
2014,60
2014,65
2014,77
2014,65
2014,65
2014,55
2014,74
2014,87
2014,51
2014,66
2014,68
2014,69
2014,50
2014,50
2014,58
2014,78
2014,56
2014,49
2014,91
2014,76
2014,72
2014,44
2014,56
2014,70
2014,72
2014,69
2014,71
2014,76
2014,79
2014,41
2014,72
2014,62
2014,60
2014,50
2014,47
2014,69
2014,35
2014,45
2014,55
2014,93
2014,29
2014,47
2014,60
2014,41
2014,59
2014,96
2014,68
2014,80
2014,68
2014,53
2014,63
2014,78
2014,56
2014,64
2014,74
2014,59
2015,78
2015,68
2015,58
2015,61
2015,86
2015,57
2015,75
2015,65
2015,58
2015,26
2015,66
2015,85
2015,75
2015,78
2015,69
2015,83
2015,67
2015,74
2015,58
2015,47
2015,28
2015,41
2015,88
2015,69
2015,81
2015,42
2015,80
2015,48
2015,66
2015,75
2015,62
2015,60
2015,63
2015,59
2015,82
2015,68
2015,71
2015,83
2015,57
2015,49
2015,69
2015,63
2015,32
2015,67
2015,58
2015,78
2015,36
2015,38
2015,59
2015,69
2015,68
2015,53
2015,62
2015,81
2015,75
2015,67
2015,81
2015,70
2015,79
2015,63
2015,71
2015,77
2015,38
2015,67
2015,39
2015,71
2015,71
2015,51
2015,64
2015,74
2015,76
2015,69
2015,52
2015,47
2015,65
2015,54
2015,60
2015,48
2015,67
2015,69
2015,57
2015,47
2015,68
2015,64
2015,26
2015,57
2015,72
2015,85
2015,80
2015,62
2015,88
2015,28
2015,72
2015,90
2015,48
2016,58
2016,61
2016,77
2016,53
2016,50
2016,62
2016,63
2016,67
2016,67
2016,77
2016,67
2016,80
2016,57
2016,63
2016,73
2016,75
2016,76
2016,66
2016,66
2016,73
2016,77
2016,61
2016,59
2016,79
2016,71
2016,61
2016,93
2016,75
2016,76
2016,65
2016,55
2016,66
2016,70
2016,59
2016,81
2016,59
2016,63
2016,56
2016,76
2016,67
2016,32
2016,38
2016,61
2016,59
2016,55
2016,55
2016,55
2016,63
2016,47
2016,56
2016,59
2016,61
2016,56
2016,60
2016,69
2016,93
2016,71
2016,38
2016,68
2016,37
2016,58
2016,62
2016,70
2016,60
2016,57
2016,74
2016,73
2016,63
2016,52
2016,83
2016,65
2016,37
2016,75
2016,39
2016,57
2016,75
2016,83
2016,70
2016,80
2016,0
2017,83
2017,75
2017,68
2017,44
2017,85
2017,65
2017,77
2017,56
2017,65
2017,69
2017,64
2017,57
2017,61
2017,72
2017,74
2017,82
2017,61
2017,58
2017,65
2017,67
2017,61
2017,65
2017,33
2017,74
2017,74
2017,84
2017,45
2017,69
2017,53
2017,53
2017,59
2017,63
2017,70
2017,31
2017,93
2017,40
2017,69
2017,71
2017,82
2017,87
2017,71
2017,65
2017,80
2017,76
2017,72
2017,77
2017,74
2017,55
2017,65
2017,73
2017,74
2017,64
2017,70
2017,37
2017,69
2017,74
2017,51
2017,70
2017,77
2017,68
2017,57
2017,60
2017,27
2017,76
2017,43
2018,79
2018,77
2018,82
2018,76
2018,87
2018,70
2018,84
2018,62
2018,72
2018,26
2018,78
2018,59
2018,51
2018,66
2018,52
2018,71
2018,57
2018,65
2018,80
2018,70
2018,59
2018,68
2018,59
2018,74
2018,67
2018,70
2018,66
2018,66
2018,47
2018,77
2018,53
2018,97
2018,63
2018,71
2018,69
2018,52
2018,64
2018,46
2018,77
2018,84
2018,63
2018,65
2018,76
2018,92
2018,54
2018,57
2018,63
2018,66
2018,39
2018,77
2018,53
2018,48
2018,68
2018,73
2018,76
2018,75
2018,75
2018,63
2018,58
2018,79
2018,75
2018,58
2018,97
2018,58
2019,76
2019,51
2019,50
2019,76
2019,48
2019,86
2019,62
2019,69
2019,72
2019,67
2019,69
2019,80
2019,64
2019,84
2019,67
2019,80
2019,90
2019,81
2019,53
2019,73
2019,85
2019,59
2019,70
2019,72
2019,84
2019,74
2019,61
2019,75
2019,53
2019,60
2019,70
