Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
"Hey, Soul Sister",Train,neo mellow,2010,67,89,80,19,83
Love The Way You Lie,Eminem,detroit hip hop,2010,75,93,64,24,82
TiK ToK,Kesha,dance pop,2010,76,84,71,10,80
Bad Romance,Lady Gaga,dance pop,2010,70,92,71,0,79
Just the Way You Are,Bruno Mars,pop,2010,64,84,43,2,78
Baby,Justin Bieber,canadian pop,2010,73,86,54,4,77
Dynamite,Taio Cruz,dance pop,2010,75,78,82,0,77
Secrets,OneRepublic,dance pop,2010,52,76,38,7,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,48,37,14,74,76
Only Girl (In The World),Rihanna,barbadian pop,2010,79,72,61,13,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,62,87,47,3,73
Marry You,Bruno Mars,pop,2010,62,83,48,33,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,77,82,63,18,73
Telephone,Lady Gaga,dance pop,2010,83,83,71,1,73
Like A G6,Far East Movement,dance pop,2010,44,84,78,1,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,78,75,33,20,72
Eenie Meenie,Sean Kingston,dance pop,2010,72,61,83,5,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,82,81,44,7,70
Alejandro,Lady Gaga,dance pop,2010,63,80,37,0,69
Your Love Is My Drug,Kesha,dance pop,2010,83,61,76,1,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,80,63,40,0,68
Whataya Want from Me,Adam Lambert,australian pop,2010,44,68,45,1,66
Take It Off,Kesha,dance pop,2010,73,68,74,0,66
Misery,Maroon 5,pop,2010,70,81,73,0,65
All The Right Moves,OneRepublic,dance pop,2010,53,95,65,26,65
Animal,Neon Trees,indie pop,2010,48,83,74,0,65
Naturally,Selena Gomez & The Scene,dance pop,2010,61,90,88,2,64
I Like It,Enrique Iglesias,dance pop,2010,65,94,73,2,63
Teenage Dream,Katy Perry,dance pop,2010,72,80,59,2,63
California Gurls,Katy Perry,dance pop,2010,79,75,40,0,62
3,Britney Spears,dance pop,2010,70,71,79,5,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,68,89,83,1,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,75,84,52,8,62
Imma Be,The Black Eyed Peas,dance pop,2010,60,52,41,18,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,50,82,55,16,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,81,63,80,8,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,29,41,7,83,61
If I Had You,Adam Lambert,australian pop,2010,65,91,79,1,59
Rock That Body,The Black Eyed Peas,dance pop,2010,72,91,84,2,59
Dog Days Are Over,Florence + The Machine,art pop,2010,50,81,26,3,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,51,85,72,47,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,71,41,10,4,57
Hard,Rihanna,barbadian pop,2010,31,75,16,1,57
Loca,Shakira,colombian pop,2010,80,87,85,19,56
You Lost Me,Christina Aguilera,dance pop,2010,23,39,7,85,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,76,81,54,0,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,64,95,57,6,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,66,86,65,3,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,45,86,58,7,49
Break Your Heart,Taio Cruz,dance pop,2010,67,90,63,0,33
Hello,Martin Solveig,big room,2010,67,98,45,1,0
A Thousand Years,Christina Perri,dance pop,2011,42,41,16,31,81
Someone Like You,Adele,british soul,2011,56,33,28,89,80
